timestamp_utc,service,model,request_id,asset,prompt_or_text,voice,duration_s,resolution,generate_audio,credit_cost,status,notes
2026-09-26T00:05:56Z,higgsfield,bytedance/seedance-2.5/text-to-video,eeb4fd48-efc5-43d5-8dbb-811391c6aa92,N1,"Early morning in New York in winter, a long line of people in coats outside a hardware store, people carrying packs of bottled water and boxes, steam from street vents, taxis passing, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:05:59Z,higgsfield,bytedance/seedance-2.5/image-to-video,579e8a44-7edb-4979-8bb2-a262c9fb86b8,N2,"The glowing night map of city lights seen from high above becomes a real photographic aerial view of Manhattan at night as the camera keeps descending: skyscrapers, avenues full of car headlights, a faint green aurora in the sky, then block after block of the city's lights go dark. Smooth steady descent, realistic, cinematic, no text, no captions, no labels, no logos, no watermarks.",,5,480p,False,(est $1.03),submitted,
2026-09-26T00:05:59Z,higgsfield,bytedance/seedance-2.5/text-to-video,d06dda03-1a6c-4100-9770-d3f8bd011cae,L2,"Before dawn on a completely dark London street with no streetlights and no lit windows, a British TV reporter in a dark coat holds a plain black microphone and looks up; behind her people in coats stand in the road under a deep red aurora, lit only by phone torches, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:00Z,higgsfield,bytedance/seedance-2.5/text-to-video,ac1536b7-51be-4f95-8b8e-f1c8b1e2bba8,N3,"Passengers walking in a long line through a dark subway tunnel lit only by phone flashlights, stepping carefully beside the rails, a stopped train behind them, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:00Z,higgsfield,bytedance/seedance-2.5/text-to-video,efa1a3ca-7dd1-432e-996e-3d7885841948,P1,"Dawn in Paris in winter, crowds of commuters walking across a bridge over the Seine, no cars, the traffic lights dark, grey light, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:01Z,higgsfield,bytedance/seedance-2.5/text-to-video,7d60dc98-e193-4b94-a83a-d00df968faa3,N4,"Grey daylight on a New York street in winter, people filling buckets and plastic bottles from an open fire hydrant while neighbours wait in line, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:01Z,higgsfield,bytedance/seedance-2.5/text-to-video,e3c5279f-1817-48f9-a47b-7571b9c5a386,L3,"A hospital corridor lit only by dim emergency lights, nurses working with head torches, a patient on a trolley, calm but strained, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:01Z,higgsfield,bytedance/seedance-2.5/text-to-video,02a1e860-e747-4206-b773-4be457ae84cb,G1,"Daytime in a busy Lagos street market, shops and stalls running on small petrol generators, people buying, talking and laughing in bright sun, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:02Z,higgsfield,bytedance/seedance-2.5/text-to-video,9096dc80-f8c0-4bcb-b408-6f9df7b2fbb2,V1,"A snowy highway in winter: a long convoy of fuel tanker trucks escorted by plain military vehicles, soldiers in winter uniforms at a checkpoint waving them through, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:02Z,higgsfield,bytedance/seedance-2.5/text-to-video,c751ff28-b2e9-42ec-a23d-88bee06b50a6,R1,"A huge port crane slowly lifting an enormous electrical power transformer onto a cargo ship, port workers in hi-vis jackets watching, grey daylight, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:03Z,higgsfield,bytedance/seedance-2.5/text-to-video,41627af6-fe37-446b-9203-dc296bdf4d49,W1,"A snowy farm in winter, a farmer pours milk from a large steel container into a ditch next to a red barn, cows visible inside, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:03Z,higgsfield,bytedance/seedance-2.5/text-to-video,03d88d8c-cf2c-4172-b7ef-43119273d98c,M3,"At dusk on a snowy Montreal street, the streetlights and shop lights flicker back on and people in winter coats cheer and hug, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:06:12Z,elevenlabs,eleven_v3,,NARR2,And the first place to feel it... [pause] is Quebec.,nPczCjzI2devNBz1zQrb,,,,0,error 403,"{""detail"":{""type"":""authorization_error"",""code"":""subscription_required"",""message"":""Output format 'pcm_44100' is only available on the Pro tier and above."",""status"":""output_format_not_allowed"",""request_id"":""a4b331acea860a2e2eadc3bebdd7cfa9""}}"
2026-09-26T00:06:25Z,elevenlabs,eleven_v3,gPj031cYdlO8ycQIb6tA,NARR2,And the first place to feel it... [pause] is Quebec.,nPczCjzI2devNBz1zQrb,3.52,,,52 chars,ok,"build/audio/vo/NARR2.wav, scene time 13.4 s"
2026-09-26T00:06:34Z,elevenlabs,eleven_v3,2ustePNR4MT9GGj2EDym,NARR1,"Hour seventeen. Right on schedule, the storm arrives. Across the northern sky, auroras flare brighter than anyone alive has ever seen.",nPczCjzI2devNBz1zQrb,9.36,,,134 chars,ok,"build/audio/vo/NARR1.wav, scene time 4.6 s"
2026-09-26T00:06:39Z,elevenlabs,eleven_v3,HoOZEZ00O5MZD1ifI1DE,NARR3,"Its power grid runs across ancient bedrock that can't absorb the surge. In 1989, a storm a fraction of this size took this grid down in ninety seconds. [pause] Tonight... it takes nine.",nPczCjzI2devNBz1zQrb,15.28,,,185 chars,ok,"build/audio/vo/NARR3.wav, scene time 20.5 s"
2026-09-26T00:06:43Z,elevenlabs,eleven_v3,141PuONk1p7p0MfMF2lB,GRID,"[urgent] Grid Control to all stations... we've lost the northern lines. Multiple transformer trips... Montreal is down. I repeat, we are losing the network... we are losing the",iP95p4xoKVk53GoZ742B,11.92,,,176 chars,ok,"build/audio/vo/GRID.wav, scene time 42.2 s"
2026-09-26T00:06:48Z,elevenlabs,eleven_v3,h1nPMaaHFB2dPxo7TgiI,GNN,"[urgent] I'm in downtown Montreal. A minute ago, every light in the city went out. People are pouring into the streets... and above us, you can see it, the whole sky is green. We're hearing the entire province may be without power.",EXAVITQu4vr4xnSDxMaL,13.68,,,231 chars,ok,"build/audio/vo/GNN.wav, scene time 50.0 s"
2026-09-26T00:06:51Z,elevenlabs,eleven_v3,CBWPU88M3JAODiCgE1cl,NARR4,Nine million people. [pause] In the dark. [pause] And the storm is only getting started.,nPczCjzI2devNBz1zQrb,7.20,,,88 chars,ok,"build/audio/vo/NARR4.wav, scene time 65.6 s"
2026-09-26T00:06:55Z,elevenlabs,eleven_v3,wU7YkFEDBozasHcuPcOo,NARR1_george,"Hour seventeen. Right on schedule, the storm arrives. Across the northern sky, auroras flare brighter than anyone alive has ever seen.",JBFqnCBsd6RMkjVDRZzb,10.00,,,134 chars,ok,"build/audio/vo/NARR1_george.wav, scene time 4.6 s"
2026-09-26T00:07:14Z,higgsfield,bytedance/seedance-2.5/image-to-video,efe725ae-3f2a-4c80-ad4f-aad0acb77f55,S1,"The glowing night map of city lights seen from high above becomes a real photographic aerial view of Stockholm at night in winter as the camera keeps descending: islands and bridges, snow, trams and cars moving, a huge green aurora filling the sky, then the city lights go out. Smooth steady descent, realistic, cinematic, no text, no captions, no labels, no logos, no watermarks.",,5,480p,False,(est $1.03),submitted,
2026-09-26T00:08:40Z,higgsfield,bytedance/seedance-2.5/text-to-video,d66a3473-9be8-4a8f-82b4-72325bba4cfa,B1,"Night shift in a dim space-weather operations room: forecasters at desks facing a wall of monitors that show glowing orange images of the Sun, one forecaster slowly stands up staring at a screen, the others turn around, tense, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,$0.00,nsfw,"{'status': 'nsfw', 'request_id': 'd66a3473-9be8-4a8f-82b4-72325bba4cfa', 'status_url': 'https://platform.higgsfield.ai/requests/d66a3473-9be8-4a8f-82b4-72325bba4cfa/status', 'cancel_url': 'https://platform.higgsfield.ai/requests/d66a3473-9be8-4a8f-82b4-72325bba4cfa/cancel'}"
2026-09-26T00:08:42Z,higgsfield,bytedance/seedance-2.5/text-to-video,9e5d4eae-4577-494b-aa5b-519449e27895,B2,"An airliner cockpit in bright daylight over the ocean, two pilots in plain uniforms, the first officer presses the radio button, listens, frowns and tries again, nothing but static, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,$0.82,completed,saved build/clips/B2.mp4 (https://d3u0tzju9qaucj.cloudfront.net/133eee17-ded7-4352-885c-8cce68398ed0/d3841227-e632-4c13-acbf-f8122ef5ecc1.mp4)
2026-09-26T00:09:31Z,elevenlabs,eleven_english_sts_v2,,M1_revoiced,speech-to-speech of ../build/audio/M1_native.wav,EXAVITQu4vr4xnSDxMaL,,,,0,error 401,"{""detail"":{""type"":""authentication_error"",""code"":""unauthorized"",""message"":""The API key you used is missing the permission speech_to_speech to execute this operation."",""status"":""missing_permissions"",""request_id"":""1b98d292c4d2908f195ed2fa477aca55""}}"
